name,ring,quadrant,isNew,description
Decarbonisation of Land Use,Plan,Strategic,FALSE,Legal development and suggested action for clients to take
ESG Regulation,Plan,Strategic,TRUE,Legal development and suggested action for clients to take
Rationalisation of portfolio,Plan,Strategic,TRUE,Legal development and suggested action for clients to take
Part 26a Restructuring Plan,Prepare,Strategic,FALSE,Legal development and suggested action for clients to take
UK Funds Regime,Prepare,Strategic,FALSE,Legal development and suggested action for clients to take
Breaking the Infractructure Deadlock,Monitor,Strategic,TRUE,Legal development and suggested action for clients to take
Property rich companies,Plan,Financial,FALSE,"<b>DEVELOPMENT</b>
<br>
<p>On 20 July 2021, HM Treasury published draft legislation and a summary of changes to the UK tax regime applicable to qualifying asset-holding companies (QAHCs) in fund structures managed by regulated fund managers or certain types of institutional investors, 70%+ of which are owned by diversely-owned investors. The changes are set to take effect from 1 April 2022 (stamp duty/SDRT/ corporation tax) and 6 April 2022 (income tax/CGT). They can be seen as part of a wider Government objective to encourage property fund structures to move on shore in the UK; recognising that the current legal regime, especially tax, has meant that most alternative property fund structures are established outside the UK. The proposals aim to address a series of tax issues that are thought to restrict the establishment of on shore structure, focusing on exempting QAHC profits from overseas properties and gains from certain shares and overseas properties, relaxing for QAHCs some of the restrictions on interest deductibility, exempting interest payments by QAHCs to investors from withholding tax and providing a more favourable tax treatment of share and loan capital buybacks by QAHCs from investors.</p>
<br>
<b>WHAT SHOULD I DO?</b>
<p>The introduction of the general non-resident CGT charge, to apply to both direct and indirect disposals of UK real estate interests has already lessened the attractions (and/or increased the complexity) of establishing and operating UK real estate fund structures in overseas jurisdictions. For those contemplating establishing new real estate funds, or already operating them, it will be worth considering the costs and benefits of the current arrangements, and how the position might be improved, as and when the changes come into effect. We are currently seeing a more general move towards 'on shoring' holding structures for higher value UK real estate assets.</p>"
Building Safety Levy,Prepare,Financial,TRUE,"<b>DEVELOPMENT</b>
<br>
<p>On 21 July 2021, the Ministry of Housing, Communities and Local Government published a consultation on Building Safety Levy (previously referred to as ""Gateway 2 levy"" and originally announced on 10 February 2021). It is intended that the levy will come into force alongside the new Gateway 2 process in 2023. Like the Residential Property Developer Tax (RPDT), the levy is intended to help fill the funding gap left as a result of Government funding for cladding remediation. The levy is intended to be payable at Gateway 2 of the building control approval stage, though the paper moots the possibility of allowing instalment payments by SMEs. The paper proposes that hospitals and affordable housing are excluded from the scope of the levy but does not mention any exclusion for care homes (despite the Government having proposed some form of care home exemption from RPDT). The paper states that the levy will apply ""only to the largest residential developers"" but does not specify how any such distinction will be made (and this begs the question why it is felt necessary to cater for SMEs with the ability to pay by instalments). The paper does not give any indication as to what the rate of the levy will be.</p>
<br>
<b>WHAT SHOULD I DO?</b>
<p>It is difficult to plan ahead for the levy given the limited information provided in the paper as to scope, the lack of a rate and the fact the paper does not specify on what basis the levy will be calculated (it merely mentions payment by square footage or by residential unit as possible quantification mechanisms). High rise (i.e. 18M or higher or 7 storeys or higher) developers of residential property, care homes or hospitals therefore need to be alert for further updates in respect of the levy.</p>"
Brexit,Prepare,Financial,TRUE,"<b>DEVELOPMENT</b>
<br>
<p>On 20 July 2021, HM Treasury published draft legislation and a summary of changes to the UK tax regime applicable to qualifying asset-holding companies (QAHCs) in fund structures managed by regulated fund managers or certain types of institutional investors, 70%+ of which are owned by diversely-owned investors. The changes are set to take effect from 1 April 2022 (stamp duty/SDRT/ corporation tax) and 6 April 2022 (income tax/CGT). They can be seen as part of a wider Government objective to encourage property fund structures to move on shore in the UK; recognising that the current legal regime, especially tax, has meant that most alternative property fund structures are established outside the UK. The proposals aim to address a series of tax issues that are thought to restrict the establishment of on shore structure, focusing on exempting QAHC profits from overseas properties and gains from certain shares and overseas properties, relaxing for QAHCs some of the restrictions on interest deductibility, exempting interest payments by QAHCs to investors from withholding tax and providing a more favourable tax treatment of share and loan capital buybacks by QAHCs from investors.</p>
<br>
<b>WHAT SHOULD I DO?</b>
<p>The introduction of the general non-resident CGT charge, to apply to both direct and indirect disposals of UK real estate interests has already lessened the attractions (and/or increased the complexity) of establishing and operating UK real estate fund structures in overseas jurisdictions. For those contemplating establishing new real estate funds, or already operating them, it will be worth considering the costs and benefits of the current arrangements, and how the position might be improved, as and when the changes come into effect. We are currently seeing a more general move towards 'on shoring' holding structures for higher value UK real estate assets.</p>"
Residential Property Developer Tax (RPDT),Monitor,Financial,FALSE,"<b>DEVELOPMENT</b>
<br>
<p>On 20 September, the Government published draft legislation and opened a technical consultation, on the Residential Property Developer Tax (RPDT), closing 15 October 2021. The draft legislation taxes corporate residential developers on so-called ""RPD activities"". Some types of property are out of scope - most notably purpose-built student accommodation - but other exclusions tend to be institutional. The scope of the carve-out for senior living is restricted to a ""home or other institution providing residential accommodation with personal care"". The draft legislation allows RPDT loss relief carry-forward and group relief but limits carry-forward relief to 50% of RPDT profits.</p>
<br>
<b>WHAT SHOULD I DO?</b>
<p>There are special provisions addressing the treatment of corporate JVs. Corporate shareholders in the JV with a 10%+ holding are allocated a proportionate share of the JV's RPDT profits falling under the annual allowance. Similarly, the parties can elect to transfer a proportionate share of RPDT losses to 10%+ shareholders in the JV. Where there are 10%+ shareholders in a corporate JV who are not themselves subject to RPDT (e.g. pension funds), the JV's annual allowance is restricted by a proportion equal to that shareholder's ownership proportion. In the case of some shareholders (such as individuals), this may mean a partnership JV could be more RPDT-efficient.</p>"
