name,ring,quadrant,isNew,description
Corporate Sustainability Due Diligence Directive,Monitor,ESG,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Corporate Sustainability Reporting Directive,Prepare,ESG,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Green Claims Directive,Prepare,ESG,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Extended Producer Responsibility for Packaging,Plan,ESG,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Environmental sustainability agreements,Monitor,ESG,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Economic Corporate Crime and Transparency Act 2023,Act,Risk & Compliance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Review of retained EU law,Monitor,Risk & Compliance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Omnibus Directive,Monitor,Risk & Compliance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Restriction of multibuy deals of HFSS products,Plan,Risk & Compliance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
"Digital Markets, Competition and Consumers Bill",Prepare,Tech,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
EU AI Act,Prepare,Tech,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Enforcement focus on digital markets,Prepare,Tech,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
ICO consultation on draft biometric data guidance,Monitor,Tech,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Increase to normal minimum pension age,Plan,Employment,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
The Employment Rights Regulations 2023,Act,Employment,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Workers Act 2023,Prepare,Employment,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Employment Relations Act 2023,Prepare,Employment,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
New National Living and Minimum wage,Plan,Employment,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Paternity leave reforms,Monitor,Employment,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Duty to prevent sexual harassment in the workplace,Plan,Employment,,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Carer's Leave Act 2023,Prepare,Employment,,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
Protection from Redundancy Act 2023,Prepare,Employment,,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
"Statutory Code on ""Fire and Rehire""",Monitor,Employment,,"<p>
<b>DEVELOPMENT</b>
<br>

<br>
<b>WHAT SHOULD I DO?</b>

</p>"
